products
Name,Name2,Price,Deposit,VolymInml,PricePerLiter,SalesStart,Discontinued,ProductGroup,Type,Style,Packaging,SealType,Origin,OriginCountryName,Producer,Supplier,Vintage,AlcoholContent,AssortmentCode,AssortmentText,Organic,Ethical,Kosher,RawMaterialsDescription
Renat,,204.00,,700.00,291.43,10/1/93,0,Vodka and Brännvin,Vodka,,Bottle,,,Sweden,Pernod Ricard,Pernod Ricard Sweden AB,,37.50%,FS,Fixed assortment,0,0,0,Grain.
Valtellina Superiore,Sassella Riserva,383.00,,750.00,510.67,9/1/15,0,Red wine,,,Bottle,,Lombardy,Italy,Arpepe,Vinoliv Import AB,2015,13.50%,BS,Order goods,0,0,0,
Viña Soledad,Tête de Cuvée Reserva,169.00,,750.00,225.33,9/1/15,0,White wine,Full-bodied & Tasty,,Bottle,Natural Cork,Rioja,Spain,Bodegas Franco-Españolas,Terrific Wines AB,2006,12.00%,BS,Order goods,0,0,0,Viura.
Purcari,Freedom Blend,199.00,,750.00,265.33,9/1/15,0,Red wine,,,Bottle,,,Moldova,Purcari,High Coast Wine AB,2015,13.50%,BS,Order goods,0,0,0,
Midas Golden Pilsner,,26.70,,330.00,80.91,9/1/15,0,Beer,Pale lager,Modern Style,Bottle,,,Sweden,Imperiebryggeriet AB,Imperiebryggeriet AB,,4.90%,BS,Order goods,0,0,0,
Josés,Tequila Blanco,359.00,,700.00,512.86,9/1/15,0,Tequila and Mezcal,Tequila,,Bottle,,,Mexico,Tierra de Agaves,Fine Brands Sweden AB,,40.00%,BS,Order goods,0,0,0,
Cognac Leyrat,Fine VS,399.00,,700.00,570.00,9/1/15,0,Cognac,,,Bottle,,Cognac,France,Domaine de chez maillard,Fine Brands Sweden AB,,40.00%,BS,Order goods,0,0,0,
Schlappeseppel Specialität,,29.90,,330.00,90.61,9/1/15,0,Beer,Amber lager,Märzen and Viennese style,Bottle,Jumper Cork,,Germany,Schlappeseppel GmbH,Dryckesboden Sverige AB,,5.60%,BS,Order goods,0,0,0,
Schlappeseppel,Dunkel,21.80,,330.00,66.06,9/1/15,0,Beer,Dark lager,Dim,Bottle,Cap,,Germany,Schlappeseppel GmbH,Dryckesboden Sverige AB,,5.20%,BS,Order goods,0,0,0,
Schlappeseppel,Hefe Weissbier,28.70,,500.00,57.40,9/1/15,0,Beer,Wheat beer,Hefeweizen,Bottle,Cap,,Germany,Schlappeseppel GmbH,Dryckesboden Sverige AB,,5.50%,BS,Order goods,0,0,0,
Schlappeseppel,Pils,21.80,,330.00,66.06,9/1/15,0,Beer,Pale lager,Pilsner - German style,Bottle,Cap,,Germany,Schlappeseppel GmbH,Dryckesboden Sverige AB,,5.10%,BS,Order goods,0,0,0,
Schlappeseppel,Kellerbier,22.80,,330.00,69.09,9/1/15,0,Beer,Pale lager,Zwickel / Keller and landbier,Bottle,Cap,,Germany,Schlappeseppel GmbH,Dryckesboden Sverige AB,,5.50%,BS,Order goods,0,0,0,
Valmiermuiza,Alus,32.10,,500.00,64.20,9/1/15,0,Beer,Amber lager,Märzen and Viennese style,Bottle,,,Latvia,Valmiermuiza,CCS AB,,5.20%,BS,Order goods,0,0,0,
Château de Cazeneuve,Le Roc des Mates,270.00,,750.00,360.00,10/1/15,0,Red wine,,,Bottle,,Languedoc-Roussillon,France,Château de Cazeneuve,Sybaris - Wine & Spirits AB,2011,14.50%,BS,Order goods,1,0,0,
Château de Cazeneuve,Les Calcaires,221.00,,750.00,294.67,10/1/15,0,Red wine,,,Bottle,,Languedoc-Roussillon,France,Château de Cazeneuve,Sybaris - Wine & Spirits AB,2013,13.50%,BS,Order goods,1,0,0,
Kråkudden,Ljus Lager,26.90,,330.00,81.52,10/1/15,0,Beer,Pale lager,Dortmunder and Helles,Bottle,,Stockholm County,Sweden,Roslags Näsby Bryggeri,Aktiebolaget Roslags Näsby Bryggeri,,5.00%,TSLS,Local & Small-scale,0,0,0,Barley malt and hops.
Halmstad Brygghus,Brogatan Extra Special,22.90,,330.00,69.39,10/1/15,0,Beer,Ale British-American style,Extra Special Bitter,Bottle,,Halland County,Sweden,Halmstad Brygghus,Halmstad Brygghus AB,,5.80%,TSLS,Local & Small-scale,0,0,0,Barley malt and hops.
Snälleröds Jungfruns Brännvin,,219.00,,500.00,438.00,12/1/15,0,Aquavit and Spiced brännvin,Spiced spirits,,Bottle,Screw Cap,Skåne County,Sweden,Arcus Sweden AB,Arcus Sweden AB,,38.00%,BS,Order goods,1,0,0,
This Ale Is India Pale,,27.20,,330.00,82.42,10/1/15,0,Beer,Ale British-American style,India Pale Ale (IPA),Bottle,,Skåne County,Sweden,Skelderwikens Brygghus AB,Skelderwikens Brygghus AB,,5.80%,TSLS,Local & Small-scale,0,0,0,"Pale ale and hell cara malt and hops varieties Cascade, Centennial and Citra."
Halmstad Brygghus,Vallgatan Pale Ale,21.90,,330.00,66.36,10/1/15,0,Beer,Ale British-American style,American Pale Ale (APA),Bottle,,Halland County,Sweden,Halmstad Brygghus,Halmstad Brygghus AB,,5.50%,TSLS,Local & Small-scale,0,0,0,Barley malt and hops.
Würzburger Pfaffenberg,Silvaner Trocken,225.00,,750.00,300.00,10/1/15,0,White wine,,,Bottle,,Franconia,Germany,WG Bürgerspital,Sybaris - Wine & Spirits AB,2014,12.50%,BS,Order goods,0,0,0,
Würzburger,Silvaner Trocken,185.00,,750.00,246.67,10/1/15,0,White wine,,,Bottle,,Franconia,Germany,WG Bürgerspital,Sybaris - Wine & Spirits AB,2014,11.50%,BS,Order goods,0,0,0,
Fjäderholmarnas Monkey Business,American Pale Ale,25.90,,330.00,78.49,10/1/15,0,Beer,Ale British-American style,American Pale Ale (APA),Bottle,,Stockholm County,Sweden,Fjäderholmarnas Bryggeri,Fjäderholmarnas Bryggeri AB,,5.20%,TSLS,Local & Small-scale,0,0,0,Barley malt and hops.
Gran Barquero Pack,,199.00,,1125.00,176.89,12/1/15,0,Aperitif and dessert,Sherry & Montilla,Montilla,3 Bottles à 375 ml,Screw Cap,Andalusia,Spain,Pérez Barquero,We & Wine AB,,17.70%,BS,Order goods,0,0,0,Pedro Ximenez.
